roman,native,transliterated_sentence,WER,CER,BLEU
"gopinath pthk - dronparv, sbhaprv, svrgrohnprv ka asami punhkthn","गोपीनाथ पाठक - द्रोणपर्व, सभापर्व, स्वर्गारोहणपर्व का आसामी पुनःकथन",गोपीनाथ पथक आर् द्रोणपर्व सभाप्रवा स्वर्ग्रोहणप्रव का असामी पुंहकथन,0.7777777777777778,0.22388059701492538,0.025271148634948993
"Adhunik vidwanon mithakon ko dekhen aur unhe ek karne ki koshish men adhyayan karne ke liye prachin Greece, iske","आधुनिक विद्वानों मिथकों को देखें और उन्हें एक करने की कोशिश में अध्ययन करने के लिए प्राचीन ग्रीस, इसके",खुनिक विद्वानों मिथकों को देखें और उन्हे एक करने की कोशिश मेन अध्ययन करने के लिये प्राचीन र्पीसे इसके,0.2631578947368421,0.08823529411764706,0.374890474536283
roshni wliya (bal ajabde punwar),रोशनी वालिया (बाल अजबदे पंवार),रोशनी व्लिया बीएबीएल अजब्दे पुनवार,0.8,0.3333333333333333,0.036015288308423515
"Dta A1C hemoglobin glycosolated shamil upayon ki rakt shrkra niyntrn (), Cholestrol, aur Grde) smroh (Serum Creatinine aur Mutra Protein aur","डेटा आ१सी हीमोग्लोबिन ग्ल्य्कोसोलातेद शामिल उपायों की रक्त शर्करा नियंत्रण (), कोलेस्ट्रॉल, और गुर्दे) समारोह (सीरम क्रेअतिनिने और मूत्र प्रोटीन और",टीटीए आईएस हीमोग्लोबिन ग्लाइकोसोलेटेड शामिल उपायों की रक्त शर्करा नियंत्रण आईएस ह्रोलेस्ट्रोला और आर्डेट समरोह एजेरम रियेटिनाइन और उतरा रोटें और,0.5238095238095238,0.3129251700680272,0.20036207255790428
"prakshepit hota hai, chahe vah mnv ho ya a-manav ho, jo vyakti vishesh ki mrutyu ke smy man ki prdhn sthiti ke liye sabse upayukt","प्रक्षेपित होता है, चाहे वह मानव हो या अ-मानव हो, जो व्यक्ति विशेष की मृत्यु के समय मन की प्रधान स्थिति के लिए सबसे उपयुक्त",प्रक्षेपित होता हैया चाहे वाह मन्व हो या अमानव होर जो व्यक्ति विशेष की मृत्यु के स्माय मान की प्रधान स्थिति के लिये सबसे उपयुक्त,0.32,0.0975609756097561,0.3218801623495325
Mdhykal ke drshn men Thomas Aquinas aur Duns Scotus ke nam vishesh mhtw ke hain.,मध्यकाल के दर्शन में टामस एक्विनस और डंस स्कोट्स के नाम विशेष महत्व के हैं।,अध्यकाल के दर्शन मेन ह्रोमास क्विनास और अन्स कोटस के नाम विशेष एमएचटीवी के हैंट,0.5333333333333333,0.29333333333333333,0.08947853200770763
Bhrtiya Jnta Party -B J P. 1980. Amit Shah.,भारतीय जनता पार्टी -बी जे पी। १९८०। अमित शाह।।,हरतिया एन्टा एर्टी आरआर आर् आरआर एचएचपीएच एमआईटी ह्गाह,1.0,0.8260869565217391,0.0
1952 uttar pradesh vidhan sbha chunav me inhone uttar pradesh ke khiri jile ke 188 -,1952 उत्तर प्रदेश विधान सभा चुनाव में इन्होंने उत्तर प्रदेश के खीरी जिले के 188 -,एग्री उत्तर प्रदेश विधान सभा चुनाव मे इन्होने उत्तर प्रदेश के खिरी जिले के आईएस आर्,0.375,0.18518518518518517,0.33649324423301513
"Sparrow ki vyktigt swchhta bhi bahut buri thi, jo Pepe lee Pew ki ek visheshta hai.","स्पैरो की व्यक्तिगत स्वच्छता भी बहुत बुरी थी, जो पेपे ली प्यू की एक विशेषता है।",पारो की व्यक्तिगत स्वच्छता भी बहुत बुरी थिप जो एपे ली एव की एक विशेषता हैया,0.3125,0.16455696202531644,0.37881872106334225
bijak ke aathven prkrn 'Chchr' men mya ke fguva khel eavm dhokhe kii tatti ka vishad vrnn hai.,बीजक के आठवें प्रकरण 'चाचर' में माया के फगुवा खेल एवं धोखे की टट्टी का विशद वर्णन है।,बिजक के आठवें प्रकरण घ्चरी मेन म्या के फगुवा खेल ईएवीएम धोखे की तत्ती का विशाद वर्णन हैया,0.4444444444444444,0.2,0.09666336076993867
Ghrunanshil chhad ko ghumane se vibhinna prshtha prapt hote hain.,घूर्णनशली छड़ को घुमाने से विभिन्न पृष्ठ प्राप्त होते हैं।,हरुणांशील छड़ को घुमने से विभिन्न पृष्ठा प्राप्त होते हैंट,0.4,0.1724137931034483,0.07730551756939458
"brsat ka mhina tha, isliye nadi ufan rahi thi aur atyant tejee se bah rahi thi.","बरसात का महीना था, इसलिए नदी उफन रही थी और अत्यन्त तेज़ी से बह रही थी।",ब्रसैट का महिना थाँ इस्लिये नदी उफान रही थी और अत्यंत तेजी से बाह रही थिप,0.5625,0.21428571428571427,0.07068348376743602
strabo kehte hai ki kkeshs me ek sing vale ghode pae jate the jinke sir mrig ki trh hote the.,स्ट्रैबो कहते हैं कि काकेशस में एक सींग वाले घोड़े पाए जाते थे जिनके सिर मृग की तरह होते थे।,स्ट्रैबो कहते है की क्केश मे एक सिंग वाले घोड़े पाए जते थे जिनके सिर मृग की ट्राह होते थें,0.4,0.11956521739130435,0.27571859863660825
chlna firna bhi is mausm me kshtdayk ho jata hai.,चलना फिरना भी इस मौसम में कष्टदायक हो जाता है।,चलना फिरना भी आईएस मौस्म मे क्षतदायक हो जाता हैया,0.5,0.21739130434782608,0.13134549472120793
ptivrta dharm kii bahu mahim hai.,पतिव्रता धर्म की बहुत महिमा है।,पतिव्रता धर्म की बहु महिम हैया,0.5,0.12903225806451613,0.20205155046766235
"men anuvad kiya jaa rha hai, Ala Hzrt ne Paigmber Hzrt Muhammed Sllhhu alaihi Vsllm ki shan","में अनुवाद किया जा रहा है, आला हज़रत ने पैगम्बर हजरत मुहम्मद सल्लल्लाहु अलैहि वसल्लम की शान",मेन अनुवाद किया जा रहा हैया एलएलए ज़र्ट ने आरिगम्बर ज़र्ट अखम्मद लल्हू अलैही सोल्म की शान,0.5882352941176471,0.32967032967032966,0.16684116849673647
nati :beti ka beta,नाती :बेटी का बेटा,नाती ब्रेटी का बेटा,0.25,0.16666666666666666,0.14643803168582153
"apna Phd Aligadh muslim vishvvidylya mein pura karne ke bad, John bhautik anusandhan pryogshla mein shamil huye, jhn unhone 1972 mein ek pryogtmk pljma bhautik krykrm ki sthpna ki.","अपना पीएचडी अलीगढ़ मुस्लिम विश्वविद्यालय में पूरा करने के बाद, जॉन भौतिक अनुसंधान प्रयोगशाला में शामिल हुए, जहाँ उन्होंने 1972 में एक प्रयोगात्मक प्लाज्मा भौतिकी कार्यक्रम की स्थापना की।",अपना एचडी लाईगढ़ मुस्लिम विश्वविद्यालय में पुरा करने के बादा ओगोन भौतिक अनुसंधान प्रयोगश्ला में शामिल हुये झन् उन्होंने एग्री में एक प्रयोगत्मक प्लाज्मा भौतिक क्रिक्रम की स्थापना कीआईएस,0.4482758620689655,0.16666666666666666,0.06214123450440836
jise aage jkr muslim mrthi shitya prishd ka nam diya gya.,जिसे आगे जाकर मुस्लिम मराठी साहित्य परिषद का नाम दिया गया.,जिसे आगे जेकेआर मुस्लिम मृति शित्या पृष्ड का नाम दिया ग्याह,0.45454545454545453,0.29310344827586204,0.11211288136839621
"Ye Mnvjti ke shyk, jyotidta aur dusht shaktiyon se rksha krnewle klynkri devta ke rup men pujit the.","ये मानवजाति के सहायक, ज्योतिदाता और दुष्ट शक्तियों से रक्षा करनेवाले कल्याणकारी देवता के रूप में पूजित थे।",आईई नवजती के शायक ज्योतिदता और दुष्ट शकतियों से रक्षा करन्यूले क्लिंक्री देवता के रूप मेन पूजित थें,0.5,0.20754716981132076,0.07915256387952298
Brhma ke aath hjar varsh ka Brahm yug hota hai.,ब्रह्मा के आठ हजार वर्ष का ब्रह्म युग होता है।,रहमा के आठ हजार वर्ष का रहम युग होता हैया,0.3,0.17391304347826086,0.4518010018049224
"gita mem the evening stndrd ke shabdo ko shamil kiye jane ke vivad ke bvjud ""it would be so nice"" vyvsyik rup se asafal rahi.","गीत में द इवनिंग स्टैंडर्ड के शब्दों को शामिल किए जाने के विवाद के बावजूद ""इट वुड बी सो नाइस"" व्यावसायिक रूप से असफल रही।",गीता मेम थे इवेनिंग स्टंडर्ड के शब्दो को शामिल किये जाने के विवाद के बीवीजूड जीआईटी वाउल्ड बीई सो निसें वैवस्यिक रूप से असफल रहिया,0.56,0.2727272727272727,0.14751877495793464
aur sabhi mnushya svym ke dhrma ki mnyta ko stya mante hai aur dusre shrma ko asatya ya fir jante hi nahi hai ki usame prmtma ke bare mein btya,और सभी मनुष्य स्वयं के धर्म की मान्यता को सत्य मानते है और दूसरे धर्म को असत्य या फिर जानते ही नहीं है कि उसमें परमात्मा के बारे में बताया,और सभी मनुष्य स्वीम के धर्मा की मन्यता को स्त्य मानते है और दुसरे श्रमा को असत्य या फिर जनते ही नाही है की उसमे प्रम्तमा के बारे में बीटीया,0.4,0.15217391304347827,0.1873315785370417
"gyan grhn krna hi nahi, yeh nirman hai - man ki kriti iska maulik chinh hai.","ज्ञान ग्रहण करना ही नहीं, यह निर्माण है - मन की कृति इसका मौलिक चिन्ह है।",ज्ञान ग्रहण करना ही नाहिया येह निर्माण है आर् मान की कृति इस्का मौलिक चिन्ह हैया,0.375,0.1643835616438356,0.2150707001701407
vera svym ek lekhika hai.,वेरा स्वयं एक लेखिका हैं।,वेरा स्वीम एक लेखिका हैया,0.4,0.16,0.12574334296829354
Ram Shastri,राम शास्त्री,एआरएम ह्रास्त्री,1.0,0.5,0.0
maukhik aur ant:shiratmik prayog ki kshmta smn lagti hai.,मौखिक और अंत:शिरात्मक प्रयोग की क्षमता समान लगाती है।,मौखिक और अंतर्शिरात्मिक प्रयोग की क्षमता सम्न लगती हैया,0.4444444444444444,0.1320754716981132,0.11949988385687535
sahityik bhsa' mein bhsa ke alawa anya bahut se tatv hote hain.,'साहित्यिक भाषा' में भाषा के अलावा अन्य बहुत से तत्व होते हैं।,साहित्यिक भसात में भसा के अलावा अन्य बहुत से तत्व होते हैंट,0.3333333333333333,0.11290322580645161,0.46480352718451945
Tripuri aur Ujjayini ke smn aran bhi ek gntntr tha.,त्रिपुरी और उज्जयिनि के समान एरन भी एक गणतंत्र था।,रायपुरी और जजयिनी के सम्न अरन भी एक गणतन्त्र थाँ,0.6,0.24,0.05307712171072445
"aur abhinay Mithun Chkrvri, Shilpa Shirodkar, Govinda, Sonali Bendre, Ashif Shaik, Shakti Kapoor avm Rza Murad ne kiya hai.","और अभिनय मिथुन चक्रवर्ती, शिल्पा शिरोडकर, गोविन्दा, सोनाली बेंद्रे, आशिफ शेख, शक्ति कपूर एवं रज़ा मुराद ने किया है।",और अभिनय इथुन हकरवरी हिल्पा हैरोडकर ओअविंदा ओनाली एआनड्रेट शिफ हाइक हाकती अपूर एवीएम ज़्गा उरद ने किया हैया,0.7894736842105263,0.3826086956521739,0.023406459290520213
Surya ka bimb rup men drshn Punit mna jta tha.,सूर्य का बिंब रूप में दर्शन पुनीत माना जाता था।,उर्या का बिम्ब रूप मेन दर्शन उर्नित मना जता थाँ,0.7,0.2765957446808511,0.02777619034011792
Kshetra ke gramin dar evam bhay ke krn rkshs ke liye bhojan prdn karte the ek smy,क्षेत्र के ग्रामीण डर एवं भय के कारण राक्षस के लिए भोजन प्रदान करते थे एक समय,शेत्र के ग्रामीण दार एवम भय के कर्न रक्षस के लिये भोजन प्रदान करते थे एक स्माय,0.4117647058823529,0.18181818181818182,0.28175950490399515
Yah gau mera jivan hai aur ise main kisi bhi kimat par kisi ko nahi de skta.,यह गौ मेरा जीवन है और इसे मैं किसी भी कीमत पर किसी को नहीं दे सकता।,अगाह गाउ मेरा जीवन है और आईएसई मैन किसी भी किमत पार किसी को नाही डीई स्कटा,0.5294117647058824,0.29850746268656714,0.19345299022826185
"May 2008 men, Antonio, Texas ke Sain Ngr prishd ki county ke liye Beksar Registry ka ek A1C tainti ko manjuri de di hai.","मई २००८ में, एंटोनियो, टेक्सास के सैन नगर परिषद की काउंटी के लिए बेक्सार रजिस्ट्री का एक आ१सी तैनाती को मंजूरी दे दी है।",अर्य एग्री मेंन नटोनियो एक्सास के एरेन जीजीआर पृष्ड की काउंटी के लिये एक्सर ईजिस्ट्री का एक आईएस तैंती को मंजूरी डीई डीआई हैया,0.6666666666666666,0.38333333333333336,0.05475843461688768
Samuche Desh men sthn-sthn par chingariyon ke rup men nai-nai smitoyn gathit ho gayi.,समूचे देश में स्थान-स्थान पर चिनगारियों के रूप में नई-नई समितियाँ गठित हो गयीं।,आमुचे एगेश मेन स्थानस्थान पार चिंगारियों के रूप मेन नैयानई स्मितोयन गठित हो गायिया,0.7142857142857143,0.25316455696202533,0.04271802513581977
Unnis sau sath ke dshk men pure Bhrt men unki free stile kushtiyon ka bolbla rha.,उन्नीस सौ साठ के दशक में पूरे भारत में उनकी फ्री स्टाइल कुश्तियों का बोलबाला रहा।,एनिस साउ साथ के डीएसके मेन पुरे हर्ट मेन उनकी फ्री स्टाइल कुष्टियों का बोलब्ला रहाँ,0.6875,0.2839506172839506,0.06917184228205472
aur khel ke abhyaas ke dauran bsebll ke pani mein girane ke bad ve pani mein dubaki lgyenge.,और खेल के अभ्यास के दौरान बेसबॉल के पानी में गिरने के बाद वे पानी में डुबकी लगाएंगे.,और खेल के अभ्यास के दौरान ब्सेबल के पानी में गिरने के बड़ वे पानी में दुबकी लग्येंगेन,0.2222222222222222,0.11904761904761904,0.5090782467880238
"ne naye chunav bulaye, jismein chunavi dhokhdhdi aur dhmkiyon ke mdhym se 80% voton ke sath vijay prapt ki.","ने नए चुनाव बुलाये, जिसमें चुनावी धोखाधडी और धमकियों के माध्यम से 80% वोटों के साथ विजय प्राप्त की.",ने नये चुनाव बुलाये जिस्में चुनावी धोखधड़ी और धमकियों के मध्यम से आईएस वोटों के साथ विजय प्राप्त कीआईएस,0.3684210526315789,0.15151515151515152,0.2539868777670523
Adhik dudh dene wale pashuon ko grbhvstha ke 8ven mah se athava byane ke 6 spth phle,अधिक दूध देने वाले पशुओं को गर्भावस्था के 8वें माह से अथवा ब्याने के 6 सप्ताह पहले,ढिक दुध देने वाले पशुओं को ग्र्भवस्था के वोवेन माह से अथावा ब्याने के आर् स्पथ फ्ले,0.47058823529411764,0.21951219512195122,0.19923405658137924
"aur khansi, kaf aur wayu se utpann jwar, gale ke rog, yakrut aur pliha (tilli) ki vruddhi men vishesh lbhdyk mna gya hai.","और खाँसी, कफ और वायु से उत्पन्न ज्वर, गले के रोग, यकृत और प्लीहा (तिल्ली) की वृद्धि में विशेष लाभदायक माना गया है।",और खांसिया काफ और वायू से उत्पन्न ज्वार गाले के रोग्ट यकृत और प्लिहा टिलिया की वृद्धि मेन विशेष ल्भद्यक मना ग्या हैया,0.5652173913043478,0.21929824561403508,0.02773438359382366
"hone ke karn unke khoon mein bal adhik hota hai, aur kam hi bimar padte hain, unke andar rogon se ladne ki achchi kshmta hoti hai.","होने के कारण उनके खून मे बल अधिक होता है, और कम ही बीमार पडते हैं, उनके अन्दर रोगों से लडने की अच्छी क्षमता होती है।",होने के कर्ण उनके खून में बाल अधिक होता हैया और काम ही बिमार पड़ते हैंट उनके अंदर रोगों से लड़ने की अच्ची क्षमता होती हैया,0.46153846153846156,0.13793103448275862,0.03460621754605049
unka akhiri test Match Australia ke anya Bade khiladiyon Dennis Lilee aur Rod Marsh ka bhi akahari tha.,उनका आखिरी टेस्ट मैच ऑस्ट्रेलिया के अन्य बड़े खिलाड़ियों डेनिस लिली और रॉड मार्श का भी आखिरी था।,उनका अखीरी टेस्ट आच अस्ट्रेलिया के अन्य आदे खिलाडियों इयानिस आइली और ओड़ अर्ष का भी अकहरी थाँ,0.6111111111111112,0.25,0.03715770152515524
unhone kha hai ki Bhgwn bhi Karm ke niyam ka ullngghn nahin kar skta; Swami ne do mukhy udhrnon ka ullekh kiya: Pandwon ko behad,उन्होंने कहा है कि भगवान भी कर्म के नियम का उल्लंघन नहीं कर सकता; स्वामी ने दो मुख्य उदाहरणों का उल्लेख किया: पांडवों को बेहद,उन्होंने खा है की हग्वान भी अर्म के नियम का उल्लंघ्न नहीं कार स्कटा वामी ने डो मुख्य उधरणों का उल्लेख कियाँ आंदवों को बेहद,0.48,0.168,0.05938569391937525
"yan anushthan, mukhy roop me kolat -nad ilake men (vrtman pradesh - Kasgod, Knnnur jilyayen, Wyndad jile kii Mnthndwdi taluk, Koshikkod jila ke Wdkra aur Koilandi taluka)","यह अनुष्ठान, मुख्य रूप में कोलत -नाड इलाके मे (वर्तमान प्रदेश - कासर्गोड, कण्णूर जिलाएँ, वयनाड जिले की मानन्थवाडि तालूका, कोष़िक्कोड जिला के वडकरा और कोइलाण्डि तालूका)",यान अनुष्ठान मुख्य रूप मे कोलत एनएनडी इलाके मेन वर्टमैन प्रदेश आर् असगोड नुन्नूर जिल्यायेंत यांदाद जिले की उन्तंदवादी तालुका औशिक्कोड जिला के ढ़करा और ओरिलांडी तालुका,0.6296296296296297,0.3532934131736527,0.02434689875110259
bba shb kisi bhi kimat par is mang se piche nahi htna chahte the vo jante the ki is mang se,बाबा साहब किसी भी कीमत पर इस मांग से पीछे नहीं हटना चाहते थे वो जानते थे कि इस मांग से,बीबीए शब किसी भी किमत पार आईएस मांग से पिचे नाही हटना चाहते थे वो जनते थे की आईएस मांग से,0.47619047619047616,0.23255813953488372,0.17411036809769517
snghrshrt aam aadmi aur vishisht vyaktitvo par likhi gai unki dirya chrchit-prshnsit hui hai.,संघर्षरत आम आदमी और विशिष्ट व्यक्तित्वों पर लिखी गई उनकी डायरियाँ चर्चित-प्रशंसित हुई हैं।,संघर्षर्त एएम आदमी और विशिष्ट व्यक्तित्वो पार लिखी गाई उनकी दिर्या चर्चित्वप्रशंसित हुई हैया,0.5714285714285714,0.16666666666666666,0.08406863224415036
liye keval us se smbdhit sabse srl bhautik bhagon ke gunon va vyvharon ki smjhne ki hi aavshyaktaa hai.,लिये केवल उस से सम्बधित सबसे सरल भौतिक भागों के गुणों व व्यवहारों की समझने की ही आवश्यकता है।,लिये केवल यूएस से सम्बधित सबसे सर्ल भौतिक भागों के गुणों वा व्यवहारों की समझने की ही आवश्यकता हैया,0.21052631578947367,0.07526881720430108,0.47207580389427084
"chikitsa ttha Purnvs; chikitsa dekhbhal sahit kai mhtwpurn vishayon, shamil hai, sharirik chikitsa, vyvsyik chikitsa, shwsn Chikitsa, aur naidnik poshan sahit bahuvidh vishay shamil hai.","चिकित्सा तथा पुनर्वास; चिकित्सा देखभाल सहित कई महत्वपूर्ण विषयों, शामिल है, शारीरिक चिकित्सा, व्यावसायिक चिकित्सा, श्वसन चिकित्सा और नैदानिक पोषण सहित बहुविध विषय शामिल हैं।",चिकित्सा ट्ठा अर्नव्स चिकित्सा देखभाल सहित काई महत्वपूर्ण विषयों शामिल हैया शारीरिक चिकित्सा वैवस्यिक चिकित्सा श्वसन हिकित्सा और नैदनिक पोषण सहित बहुविध विषय शामिल हैया,0.44,0.1329479768786127,0.20031934231014964
ke anusar ekdshi ka vrat rkha aur sgr par pul ka nirman kar Lnka par chdhai ki.,के अनुसार एकादशी का व्रत रखा और सागर पर पुल का निर्माण कर लंका पर चढ़ाई की।,के अनुसार एकदशी का व्रत रखा और एसजीआर पार पुल का निर्माण कार एनका पार चढ़ाई कीआईएस,0.4117647058823529,0.18666666666666668,0.23693055763743093
trishanku ko swarg me aaya dekh Indr ne krodh se kah ki re moorkh!,त्रिशंकु को स्वर्ग में आया देख इन्द्र ने क्रोध से कहा कि रे मूर्ख!,त्रिशंकु को स्वर्ग मे आया देख एनडीआर ने क्रोध से काह की रे मूर्ख,0.35714285714285715,0.13636363636363635,0.1391915744350798
"prtistha me behtr smjha jta hai, jisse vrtman rjnaitik dal inki trf aakarsit rahte hai.","प्रतिष्ठा मे बेहतर समझा जाता है, जिससे वर्तमान राजनैतिक दल इनकी तरफ आकर्षित रहते है।",प्रतिस्था मे बेहतर समझा जता हैया जिस्से वर्तमान र्जनैतिक डाल इंकी ट्रफ आकर्षित रहते हैया,0.6,0.16666666666666666,0.08054325699278696
adhiktar Muslim bdshhon ke smrk mkbre bane hain.,अधिकतर मुस्लिम बादशाहों के स्मारक मकबरे बने हैं।,अधिकतर अस्लिम बीडीएशओं के स्मर्क मकब्रे बने हैंट,0.625,0.25,0.03655552228545124
interview kaise de - durga prsd shukal,इन्टरव्यू कैसे दें - दुर्गा प्रसाद शुक्ल,इंटरव्यू कैसे डीई आर् दुर्गा पीआरएसडी शुकल,0.7142857142857143,0.35,0.039281465090051315
pratilipi chanbiyon ki mdd se aatnakvaadiyon ne apartment 1 mein pravesh kiya.,प्रतिलिपि चांबियों की मदद से आतंकवादियों ने अपार्टमेंट १ में प्रवेश किया।,प्रतिलिपि चनबियों की एमडीडी से आत्नकवादियों ने अपार्टमेंट आर् में प्रवेश कियाँ,0.4166666666666667,0.1780821917808219,0.05859059370151704
kasi vidypitha se sastri ki upadhi milane ke bda unhonne jnma se cla a rha jtisucka,काशी विद्यापीठ से शास्त्री की उपाधि मिलने के बाद उन्होंने जन्म से चला आ रहा जातिसूचक,कासी विद्यपीठ से सास्त्री की उपाधि मिलने के बीडीए उन्होंने जन्मा से सीएलए ए रहा जटिसुका,0.5,0.21428571428571427,0.18207052811092134
Agni rekha internet movie dtbse par,अग्नि रेखा इंटरनेट मूवी डेटाबेस पर,गोगनी रेखा इंटरनेट मूवी डीटीबीसे पार,0.5,0.2647058823529412,0.20205155046766235
kendriy kaksh ke drwje ke upar hamen Pnchtntr se sansrut ka ek pdynsh dekhane ko milta hai :-,केंद्रीय कक्ष के दरवाजे के ऊपर हमें पंचतंत्र से संस्‍कृत का एक पद्यांश देखने को मिलता है :-,केंद्रीय कक्ष के द्रौजे के उपर हामेन अंचतंत्र से संसृत का एक पदिंश देखने को मिल्टा है आरआर,0.4444444444444444,0.2087912087912088,0.08126515341447277
kai antarrashtriya aur rshtriya purskar ke roop me shri Lal Joshi ki vishisht shaili ko phchn prapt hui.,कई अंतर्राष्ट्रीय और राष्ट्रीय पुरस्कार के रूप में श्री लाल जोशी की विशिष्ट शैली को पहचान प्राप्त हुई.,काई अंतर्राष्ट्रीय और राष्ट्रीय पुरस्कार के रूप मे श्री एईएल ओशी की विशिष्ट शैली को पीएचएन प्राप्त हुइप,0.3333333333333333,0.11764705882352941,0.39811631946890474
Angad ka panv - Shri Lal Shukl,अंगद का पांव - श्री लाल शुक्ल,नगद का पांव आर् एचआरआई एईएल ह्रुक्ल,0.7142857142857143,0.5517241379310345,0.06985342056580097
