10,अपने पहले अभियान के सफल होने के बाद रामेसेस ने अपने शासन काल के पाँचवे वर्ष पर कादेश नगर पर हमला किया जो हित्तिते साम्राज्य का अधीन था पर पहले सेती प्रथम के अधीन था।, apne pehle abhiyan ke safal hone ke baad ramesses ne apne shasan kaal ke paanchva varsh par kadesh nagar par hamla kiya jo hititte samrajya ka adheen tha par pehle seti pehla ke adheen tha. 
11,ये महाराष्ट्र से हैं।, ye maharashtra se hai. 
12,वॉरहेड पर एक टन तक का परमाणु हथियार ले जाने में सक्षम।, warhead par ek ton tak ka parmanu hathiyaar le jana me saksham. 
13,दिव्या राणा, Divya Rana 
14,जगदीप, jagdeep 
15,गुझिया (निशा मधुलिका), Gujia (Nisha Madhulika) 
16,महेश एलकुंचवार सरस्वती सम्मान से सम्मानित साहित्यकार हैं।, mahesh elkunchwar saraswati samman se sammanit sahityakar hain. 
17,१९८५ में चेन्नई में पहले भारतीय एड्स के मामलों का निदान करने के बाद माइक्रोसिबोलॉजिस्ट ने भारत में एड्स अनुसंधान और रोकथाम का बीड़ा उठाया था।, 1985 me Chennai me pehle Bharatiya Aids ke mame ko nidan karne ke baad Microbiologist ne Bharat me Aids anusandhan aur rokatham ka bida uthaya tha. 
18,यह बांका जिला में अवस्थित है।, yah banka jila me avsthit hai. 
19,"विभिन्न देशों की प्राचीन भाषाएँ जिनका अध्ययन और वर्गीकरण पर्याप्त सामग्री के अभाव में नहीं हो सका है, पहली अवस्था में है।"," vibhinn deshon ki prachin bhashaon ka adhyayan aur vargikaran paryaapt saamagri ke abhav mein nahin ho sakta hai, pehle avsthay mein hai. "
20,"आठ साल तक यह समिति राष्ट्रभाषा प्रचार समिति, वर्धा से संबद्ध रही।"," aath saal tak yah samiti rashtrabhasha prachar samiti, varadha se sambadhit rahi. "
21,1947 में दारा सिंह सिंगापुर आ गये।, 1947 me dara singh singapore a gaye. 
22,"अकादमी यूरोपीय विज्ञान फाउंडेशन में पर्यवेक्षक का दर्जा प्राप्त है और ब्रिटिश रॉयल सोसायटी, ब्रिटिश अकादमी, स्वीडिश एकेडमी ऑफ साइंसेज और सिंगापुर के राष्ट्रीय अनुसंधान परिषद के साथ विनिमय कार्यक्रम चलाता है।"," Akadamiy Eiropiy Vigyan Foujndeshan mein parayekshak ka darja prapt hai aur British Royul Sosayti, British Akadami, Swediya Ekademiy of Sainz aur Singapor ke rashtriya anusandhan parishad ke saath viniyam karyakram chalata hai. "
23,"अब इस ओर चेष्ठा और प्रयत्न होने लगे हैं कि यदि संभव हो तो सभ्य संसार ही नहीं, वरना मनुष्य मात्र के सामूहिक विकास या विनाश का अध्ययन भूगोल के समान किया जाए।"," ab is or cheshta aur prayatn hone lage hain ki yadi sambhav ho to sabhy samsar hi nahin, varna manushya matra ke saamuhik vikas ya vinash ka adhyayan bhugol ke saman kiya jaye. "
24,"1975 में उन्होंने फेयरवेल, माई लवली, कैपोन और डेथ रेस 2000 में सहयोगी कलाकार का किरदार निभाया."," 1975 me unhe farewell, mai loveley, capon aur death race 2000 me sahayogi kalakar ka kirdar nibhaya. "
25,साहित्य अकादमी, sahitya akademi 
26,प्रादेशिक प्रतिनिधित्व प्रणाली के अंतर्गत संपूर्ण भूभाग को विभिन्न निर्वाचन क्षेत्रों में बांट दिया जाता है और प्रत्येक निर्वाचन क्षेत्र से एक व्यक्ति या प्रतिनिधि निर्वाचित होता है।, pradeshik pratinidhitva pranali ke antargat sampanna bhugol ko vibhinn nirvachan kshetron me banata hai aur pratyek nirvachan kshetra se ek vishay ya pratinidhi nirvachit hota hai. 
27,"किंतु अधिकांश विद्वानों का यही मत है कि ""वार' केवल ""पौड़ी' छंद में ही रची जा सकती है।"," kinu adhikans vidwanon ka yahi mat hai ki ""var' keval ""pauri' chand me hi rachi ja sakti hai. "
28,"स्टोर्मर को भौतिकी में डैनियल सुई और रॉबर्ट लाफलिन साथ "" क्वांटम फ्लूइड के आंशिक चार्ज्ड उत्तेजित प्रकार की खोज"" के लिए १९९८ में नोबेल पुरस्कार मिला।"," storumar ko bhojikii me daniel sui aur robert laflin saath ""quantum fluid ke aanshik charjhd uttejit prakaar ki khoj"" ke liye 1998 me nobel puraskaar mila. "
29,इससे बिस्मिल की आत्मा को अपार कष्ट हुआ।, isse bismil ki aatma ko aapar kathut hua. 
30,इसमें लोग खरीददारी करने के लिए आते हैं तथा यहाँ कई प्रकार की कीमती वस्तुएँ मिलती है।, ismein log khareedari karen ke liye aate hain aur yahaan kayi prakaar ki kiye vastein milte hain. 
31,"समस्याएं कंकालीय मांसपेशी, या मांसपेशी विकार मस्तिष्क और अन्य अंग प्रणालियों पर प्रभाव के साथ जुड़ सकता है।"," samasyaen kankaliya maanspeshi, ya maanspeshi vikaar mastishk aur anya ang pranaaliyon par prabhaav ke saath jud sakti hain. "
32,भारत की ऊर्जा नीति, Bharat ki urja neeti 
33,खराद, kharaad 
34,1395 ग्रेगोरी कैलंडर का एक साधारण वर्ष है।, 1395 gregory calendar ka ek sadharan varsh hai. 
35,उनकी भौंक तेज और विशिष्ट होती है।, unki bhonk teez aur vishisht hoti hai. 
36,जबकि कुछ इतिहासकारों के अनुसार वो यदु वंश के सम्बंधित हैं।, jabki kuch itihaasakaron ke anusar voh yadav vansh ke sambandhit hain. 
37,"दर्शकों ने उनके बजाये संगीत को स्वीकार किया, लेकिन उनके कुछ अन्य दर्शकों के विपरीत, वे ड्रग-मुक्त रहे - ""हम उसके बाहर थे, एसिड पर नहीं, लेकिन लूप के बाहर, UFO के ड्रेसिंग रूम में अटके थे।"""," darshakon ne unke bajaye sangit ko svikar kiya, lekin unke kuch any darshakon ke viroop, ve drug-mukt rahe - ""ham uske bahar the, asid par nahin, lekin loop ke bahar, UFO ke dressing room me atke the."" "
38,"लड़कियों ने कुत्ते का नाम बो रखा, क्योंकि इसी नाम से उनके एक चचेरे भाई एक बिल्ली है और क्योंकि श्रीमती ओबामा के पिता का उपनाम डिडली दिया गया था, जो कि स्वर्गीय संगीतकार बो डिडली के नाम पर दिया गया था।"," ladkiyon ne kutte ka naam bo rakha, kyunki isi naam se unke ek chachere bhai ek billi hai aur kyunki shri mata obama ke pitaji ka upnayam didli diya gaya tha, jo ki svargiya sangitakar bo didli ke naam par diya gaya tha. "
39,थाईलैण्ड में बौद्ध धर्म, thai land me buddh dharm 
40,"प्रत्येक वर्ष देहरादून में श्री गुरू रामराय दरबार के आँगन में पवित्र मूर्ति को उठाया जाता है, जहाँ गुरू ने अपना डेरा स्थापित किया था।"," pratyek varsh dehradun me shri guru ramrai darbar ke aangan me pavit murti ko uthaya jata hai, jahan guru ne apna dara sthapit kiya tha. "
41,"हार्ट ने लिखा,""बोहेमिया को कभी भी भौगोलिक तौर पर स्थापित करने की कोशिश नहीं की गयी, लेकिन किसी भी दिन जब आकाश साफ़ हो और सूरज अस्त हो रहा हो, यदि आप टेलीग्राफ पहाडी पर चढ़ेंगे, तो पश्चिम में आप इसकी मनोहर घाटी और बादलों से आच्छादित पहाड़ियों को देखेंगे...."," harat ne likha, ""bohemia ko kabhi bhi bhaujolik taur par sthapit karne ki koshish nahin ki gayi, lekin kisi bhi din jab aakash saaf ho aur suraj asat ho raha ho, yadi aap telegraph peedhi par chadhein, to peechhe mein aapki manohar ghati aur baadlon se aachchadi peehadiyon ko dekhenge..... "
42,हिब्रू शब्द तुकी (बहुवचन तुक्कियिम) तमिल शब्द तेख से आया है लेकिन कभी कभी मिस्र के शब्द तेख से भी संकेत हुए हैं।, hibru shabd tuki (bahuvachan tukkiam) tamil shabd tekh se aaya hai lekin kabhi kabhi misra ke shabd tekh se bhi sanket hue hain. 
43,लेकिन जो सत्य जाना चाहता वह खोज करता है फिर वहां जनता है की सभी प्रचीन धर्म इस्लाम इसाई यहूदी शिन्तो ताओ जैन बौध्द में विश्व की उत्पत्ति व अंत के कई कहानी है और भगवान के सभी मान्यता भिन्न है तो स्वयं की धर्म कथा का कई सालो तक चिंतन मनन व परिकल्पना होने पर ज्ञात होता है की वह चेतना की कहानी है और परमात्मा सबके लिए भिन्न स्वरूप में है ।, lekin jo satya jana chahta hai vah khoj karta hai phir vahan janta hai ki sabhi prachin dharm islam isai yahudi shinto tao jain boudhh mein vishva ki utpati v ant ke kai katha hai aur bhagwan ke sabhi manyaata bhinna hai to svayam ki dharm katha ka kai saalo tak chintan manan v parikalpana hone par jaanta hota hai ki vah chetna ki katha hai aur paramatma sabke liye bhinna swaroop mein hai. 
44,४ मई १९२९ के अभ्युदय में इलाहाबाद से यह समाचार छपा - ऐसेम्बली का बम केस: काकोरी केस से इसका सम्बन्ध है।, 4 may 1929 ke abhyuday me Allahabad se yah samachar chapa - Aasembly ke bomb case: Kakori case se iska sambandh hai. 
45,"कंपनी का तकनीकी केंद्र वेस्टन, एफ़एल में है।"," company ka takniki kendr Weston, FL me hai. "
46,कायस्थेर वर्णपरिचय, kayasthheer varnparichay 
47,"जब चन्द्रमा निरयण पद्धति से वॄष राशि में होता है तो जातक की वॄष राशि मानी जाती है, जन्म समय में जन्म लगन वॄष होने पर भी यही प्रभाव जातक पर होता है।"," jab chandrama nirayana paddhati se vrish rashi me hota hai to jatak ki vrish rashi maini jaati hai, janam samay me janam lagna vrish hona par bhi yahi prabhav jatak par hota hai. "
48,जयसिंहवर्मन् षष्ठ ने अन्नम की एक राजकुमारी से विवाह करन के लिये अपने राज्य के दो उत्तरी प्रांत अन्नम के नरेश का दे दिए।, Jaisinhwarman Shashth ne annam ki ek raja kumarani se vivah karne ke liye apne rajya ke do uttari prant annam ke nesh ko de diye. 
49,"IMF के अनुसार, 1980 के दशक के बाद से उभरते तथा विकासशील देशों की वास्तविक GDP वृद्धि, ऊर्ध्वमुखी और उन्नत अर्थ-व्यवस्थाओं की अधोमुखी रही है।"," IMF ke anusar, 1980 ke dashak ke baad se utrte aur vikasshit deshon ki vastavik GDP vriddhi, urdhv-mukhi aur unnat arth-vyavasthaon ki adhomukhi rahi hai. "
50,जिसका निर्देशन श्रीराम राघवन और निर्माण दिनेश विजन एवं सुनील लुल्ला ने किया है।, jiska nirdeeshan shriiram raghavan aur nirman dinish vijan evam sunil lulaa ne kiya hai. 
51,ए. बेरेडल कीथ: एक हिस्ट्री ऑव संस्कृत लिटरेचर;, A. Bredal Keith: Ek history of sanskrit literature 
52,संविधान के लेसोथो में आया बल के प्रकाशन के बाद प्रारंभ आदेश है ।, sambhita ke lesoto me aaya bal ke prakashan ke baad prarambh aadesh hai. 
53,हर्षवर्धन की मृत्यु के बाद गहरवारों ने इस पर अधिकार कर लिया था।, harshwardhan ki mrityu ke baad gharwaron ne is par adhikar kar liya tha. 
54,राजाराम द्वितीय जो रामराजा नाम से जाने जाते है।, Rajaram Dwitiya jo Ramraja naam se jane jaate hain. 
55,वह ब्रिटेन के स्कॉलैंड यार्ड में महानगरीय पुलिस में विशेष प्रशिक्षण भी हासिल कर चुकी हैं।, vah britain ke scotland yard me mahanagari police me vishesh prashikshan bhi hasil kar chuki hai. 
56,"नौजवान क्रांतिकारी टोली पर उनके पद, ज्ञान व विद्वता कि धाक भी थी।"," nayoowan krantikaari tooli par unke pad, gyan v vidvat ki dhak bhi thi. "
57,"यहाँ सभी धर्म, जाति, संप्रदाय, वर्ग के लोग एक साथ अपने-अपने पर्व को मनातें है।"," yahaan sabhi dharm, jati, sampraday, varg ke log ek saath apne-apne parv ko manate hain. "
58,कुछ ऐसा खेलने की कोशिश करें जो पहले कभी नहीं खेला है।, kuch aisa khelne ki koshish karein jo pehle kabhi nahi khela hai. 
59,जगत् तो उसके एक अंश मात्र में है।, jagat to uske ek aans me hi hai. 
60,इस संग्रहालय में लगभग बाहर हजार विभिन्न शैलियों के चित्र संकलित हैं।, is sangrahalay me lagbhag bahar hi ek hazar vibhinn shailiyon ke chitr sankalit hain. 
61,भक्तमाल' की रचना व्रजभाषा में हुई है।, Bhaktamal ki rachna vrjbhasha me hui hai. 
62,"(मोहम्मद गोरी दिल्ली पर विजय प्राप्त की और वहां अपनी सल्तनत स्थापित जब सटीक एएच 587 = 1192 होने के लिए), के अंतिम दशक से तारीख, गुजरात और केरल."," (Mohammed Ghori Delhi par vijay praapt ki aur wahin apni sultanat sthapit jab se sateek AH 587 = 1192 hone ke liye), ke antim dashak se tareekh, Gujarat aur Kerala. "
63,ये राजस्थान से हैं।, ye rajasthaan se hain. 
64,चन्देलों के साथ दुर्गावती का भी नाम लिया जाता है।, chandelon ke saath durgavati ka bhi naam liya jaata hai. 
65,वे प्रसिद्ध नृत्य शो झलक दिखला जा के सीज़न ४ के विजेता रह चुके हैं।, ve prasiddh nrity shwo jhalka dikhla ja ke seazon 4 ke vijeta rahe chuke hain. 
66,मीना, meena 
67,"राम रूप सिंह,भारत के उत्तर प्रदेश की तीसरी विधानसभा सभा में विधायक रहे।"," Ram Rup Singh, Bharat ke Uttar Pradesh ki tisri Vidhan Sabha me Vibhag Rajya Sabha ke liye chuna gaya. "
68,"शुरू में, बैंड के किसी भी सदस्य ने आगंतुक को नहीं पहचाना, लेकिन यह जल्दी ही स्पष्ट हो गया कि वह बैरेट थे।"," shuru me, band ke kisi bhi sadasya ne aagamte ko nahin pahchana, lekin yah jaldi hi saphut ho gaya ki vah baret tha. "
69,नहीं तो गर्भ के विषय में अथवा स्वयं गर्भिणी के लिए डर बना रहता है।, nahin to garbh ke vishay me aathva swayam garbini ke liye dar bana rehta hai. 
70,चौरंगा एक हिन्दी फ़िल्म है।, Chauranga ek hindhi film hai. 
71,यह निर्णय विवादों में घिरा रहा क्योंकि फ़ेडरल बैंकिंग नीति ने उस समय सामन्यतया अमेरिकन एक्सप्रेस को बैंक के रूप में कार्य करने की अनुमति नहीं दी थी।, yah nirnay vividhon me gir rahe kyonki faderal banking niti ne us samay sanytaayam amerikan ekspresh ko bank ke roop me kary karni anumati nahin di thi. 
72,स्वाधीनता संग्राम के क्रान्तिकारी साहित्य का इतिहास (1 संस्करण)., swadheenta sangraam ke krantikari sahit ya ka itihaas (1 sanskaran). 
73,"एक आध्यात्मिक स्वामी ही जो उस अनुक्रम को जानता है जिसमे हमारे कर्म को फल प्राप्त होगा, हमारी सहायता कर सकता है।"," ek adhyatmik swami hi jo us anukram ko janta hai jisme hamare karm ko phal prapt hoga, hamari sahayta kar sakta hai. "
74,ग्रेनाइट के आधार पर सफ़ेद ईंट और टेरा कोटा लिए हुए यह गगनचुंबी त्रिपक्षीय रचना वाली बिल्डिंग अच्छी नींव और खुले ऊपरी भाग के कारण अत्यधिक लोकप्रिय हुई।, granit ke aadhar par safed eent aur tera kota leke hui yeh gagan chumbi tripakshi rachna wali building achchi neev aur khulee ooperi bagh ke kaaran atyadhik lokpriya hui. 
75,"सजा में शामिल था निर्वासन, आंतरिक निर्वासन और मजबूर श्रम शिविरों और जेलों पर नजर; असंतोष को तेजी से दबा दिया गया।"," jazaa mein shamil tha nirvaasan, aantarik nirvaasan aur majboor shram shiviron aur jailon par nazr; asantosh ko tezee se daba diya gaya. "
76,"खूब पिटाई हुई, उपन्यास व अन्य किताबें फाड़ डाली गयीं लेकिन रुपये चुराने की आदत नहीं छूटी।"," khub pitaai hui, upanyas aur anya kitabein faad di gayi lekin rupaye churaane ki adat nahin chooti. "
77,"ओप कला - वसार्ली विक्टर, ब्रिज़ेट रिले, रिचर्ड एनुस्कीविच"," O.P. Kala - Vasari Vittore, Brigitte Reyle, Richard Anuskiewicz "
78,रेडियोधर्मिता के गुण के कारण प्लूटोनियम के समस्थानिक और यौगिक विषैले होते हैं।, redio dharmita ke gunon ke kaaran plutonium ke samsthaniak aur yauyik vishele hote hain. 
79,यूरोप में हुए पुर्नजागरण और ज्ञानोदय आंदोलनों के बाद मानवीय मूल्यों का महिमा मंडन हुआ।, yurup me hue puran jagaran aur gyanodya aandolanon ke baad manavya moolyon ka mahima mandan hua. 
80,इसकी रचना भारत के महान कवि एवं साहित्यकार सूर्यकांत त्रिपाठी 'निराला' ने की।, iski rachna Bharat ke mahaaan kavi evam saahityakaar Suryaakaant Tripaathi 'Niraala' ne ki. 
81,"मौरीज़ियो के जाने के एक साल के अन्दर ही, डौन मेलो भी अपनी पिछली कंपनी बर्ग्दौर्फ़ गुड्मन में फिर लौट आयीं और तब क्रिएटिव डायरेक्टर कि पदवी टॉम फोर्ड को मिली जो उस समय केवल 32 वर्ष के थे।"," Maurizio's jana ke ek saal ke andar hi, Donna Melo bhi apni pichli company Burgerdorff Goodmann me phir laut aai aur tab Creative Director ki padvi Tom Ford ko mili jo us samay kewal 32 varsh ke the. "
82,दरबार साहिब का महन्त शहर के चारों ओर जलूस का नेतृत्व करता है।, darbar sahib ka mahant shahar ke charon or jalus ka netritva karta hai. 
83,"कांट ने इस युक्ति को माना नहीं, परंतु कहा कि जो अन्य युक्तियाँ दी जाती हैं, वे एन्सैल्म की युक्ति की रूपांतर ही हैं।"," kaanat ne is yukt ko mana nahin, parantu kaha ki jo any yuktian di jaati hain, ve ensalum ki yukt ki roopant hain. "
84,"वे शेख मुजीब के तानाशाही रवईये के विरोधी थे, और 1975 में शेख मुजीब ने विपक्ष को बर्खास्त कर बाकसाल नामक एकदलीय शासत स्थापित किया, तब अहमद उनके विचारों से पूर्णतः विरुद्ध थे।"," ve shekh mujeeb ke tanashaahi raviyon ke virodhi the, aur 1975 me shekh mujeeb ne vipaksh ko barkhaast kar baaksal naamak ekdaaliya shashan sthaapit kiya, tab ahmed unke vicharon se poornata se virodh the. "
85,इन दोनों भाईयों को ग्रेट ट्रिगोनोमैट्रिकल सर्वे के देहरादून स्थित कार्यालय में दो साल तक प्रशिक्षण भी दिया गया था।, in dono bhaiyon ko Great Trigonometrical Survey of India ke Dehradun sthit karyalay mein do saal tak prashikshan bhi diya gaya tha. 
86,सय्यद वहीद अशरफ़, Sayyad Wahid Ashraf 
87,निवेश प्रबंधन उद्योग के अभ्यासकर्ताओं के लिए कनाडा में सीआईएम जैसे पदनाम आवश्यक हैं।, nivesh prabandhan udyog ke abhyakartaon ke liye canada me CIM jaisa padnam avashyak hai. 
88,"इसलिए ओझा, पुजारी, मौलवी, साधु, नकली वैद्य, नीम-हकीम, अप्रशिक्षित यौन-विशेषज्ञ इत्यादि अवैज्ञानिक रूप से मनोरोग चिकित्सकों का कार्य कर रहे हैं।"," isliye ojha, pujari, maulavi, sadhu, nakli vaaidya, nim hakim, aprashikshit yaon-visheshagya ityadi avijnyanik roop se manorog chikitsakon ka kaarya kar rahen hain. "
89,मानसा ऐतिहासिक दृष्टि से काफी महत्वपूर्ण है।, mansa itihaasik drishti se kafi mahatvapoorn hai. 
90,"बांग्लादेश की स्वतंत्रता के बाद, उन्हें योजना व वित्त का प्रभार दिया गया था, साथ ही वे बांग्लादेशी संविधान के प्रलेखन समिति में भी शामिल थे।"," bangaladesh ki swatantrata ke baad, unhe yojana v vitan ka prabhaar diya gaya tha, saath hi ve bangaladeshi sanvidhan ka pralikhan samiti me bhi shaamil the. "
91,"यह रंगहीन, स्वाधीन एवम गंधहीन क्र्यस्तालीय पदार्थ होता है जो की पानी और अल्कोहल में आराम से घुल जाता है।"," yah rangheen, swadheen evam gandheen krysataliya padarth hota hai jo ki pani aur alkohal me aaram se ghul jata hai. "
92,मध्य प्रदेश उच्च न्यायालय, madhya pradesh ucha nayakal 
93,"पाकिस्तान में, स्वैच्छिक सैन्य सेवा के लिए 16-23 वर्ष आयु है; पाकिस्तान राष्ट्र के संविधान के मुताबिक सैनिकों को 18 साल उम्र से कम पर युद्ध के लिए तैनात नहीं किया जा सकता है।"," Pakistan me, swachchik sainy seva ke liye 16-23 varsh aayu hai; Pakistan rashtra ke sanvidhan ke mutabik sainikon ko 18 saal umr se kam par yudh ke liye tainat nahin kiya ja sakta hai. "
94,यह केवल http में ही खोले गए वेबसाइट द्वारा आपके कम्प्युटर में डाला जाता है।, yah keval http me hi khole gaye website dwara aapke computer me daala jaata hai. 
95,"संस्कृत, पालि तथा शौरसेनी प्राकृत विभिन्न युगों में इस मध्यदेश की भाषा थी।"," sanskrit, pali tatha shauraseni prakrit vibhinn yugon me is madhyadesh ki bhasha thi. "
96,सबसे आसान मार्ग को 3 कक्षा वर्गीकृत किया गया है।, sabse aasaan marg ko 3 ksham vargiyit kiya gaya hai. 
97,सन् 1904 ई में फ्रांस के पब्लिक स्कूलों में मंदबुद्धि बालकों के लिये विशेष कक्षाओं की व्यवस्था संबंधी संस्तुतियों का निर्धारण करने के लिये एक आयोग गठित किया गया था।, san 1904 e me France ke public school me mandbuddhi balaon ke liye vishesh kshanon ki vyaastha sambandhi samsutiyon ka nirnay karne ke liye ek aayog gathit kiya gaya tha. 
98,इन बाधाओं का अर्थ यह है कि कई ज्ञात स्थलों के उत्खनन को जान-बूझकर छोड़ दिया गया है।, in badohon ka arth yah hai ki kayi jaanat sthalon ke utkhanan ko jabab-jabab karke chhoda gaya hai. 
99,राजकीय जालगृह, rajkiya jal grah 
100,यह शहतूत के पत्तों को खाता है।, yah shahadoot ke pata ko khaata hai. 
101,इतिहास के इतिहास की भारतीय दृष्टि (हृदयनारायन दीक्षित), itihaas ke itihaas ki bharatiya drishti (hrdaynarayan diksheet) 
102,4.चुनाव केदौरान धन-बल और बाहु-बल का प्रयोग न करना।, chunav ke dauran dhan-bal aur bahu-bal ka prayog na karna. 
103,इनमें से कुछ इस प्रकार से हैं:, inme se kuch is prakar se hain: 
104,"संयोग से फारसी शब्द ""वार' (आक्रमण) और अंग्रेजी शब्द (war) (वार) में उच्चारण और रूपसाम्य ही नहीं, युद्धविषयक भावसाम्य भी है।"," sanyog se farasi shabd ""war"" (aakraman) aur angreji shabd (war) (war) me uchcharan aur roop samya hi nahin, yuddh vishayak bhaav samya bhi hai. "
105,संस्तुति यह भी है कि हिन्दीभाषी राज्यों में दक्षिण की कोई भाषा पढ़ाई जानी चाहिए।, sanskriti yah bhi hai ki hindibhashi rajyon me dakshin ki koi bhasha padhai jani chahiye. 
106,लाजवंती इंटरनेट मूवी डेटाबेस पर, lajawanti internet movie database par 
107,वर्तमान समय में भिन्न भिन्न प्रकार के ऐसे वर्णावरोधक बनाकर भी यह प्रश्न सुलझाया गया है जो वर्णक्रम से बहुत ही सूक्ष्म पट्ट (बैंड) बाहर आने देते हैं।, varatam samay me bhinna bhinna prakaar ke aise varn avarodhak banakar bhi yah prashn suljhaaya gaya hai jo varnakram se bahut hi suksam patt band bahar aane dete hain. 
108,स्वामी विज्ञानानंद (रामकृष्ण मिशन के साधु एवं अध्यक्ष), swami vijayanand (ramkrishna mission ke sadhu evam adhyaksh) 
109,यह कोरापुट शहर में स्थित है।, yah koraput shehar me sthit hai. 
110,इक्काडु श्रीनिवासन लक्ष्मी नरसिंहन (जन्म १९४६) एक भारतीय राजनेता हैं जो आन्ध्र प्रदेश और तेलंगाना के राज्यपाल हैं।, ikkaddu shreenuvasan lakshmi narasimhan (janm 1946) ek bharatiya rajaneet hain joh andhra pradesh aur telangana ke rajyapal hain. 
111,इस समुदाय की अल्ताई भाषा नामक अपनी अलग तुर्की भाषा है।, is samuday ki altaai bhasha namak apni alag turki bhasha hai. 
112,"यदि पृथ्वी, सूरज के केन्द्र और पृथ्वी की परिक्रमा के तल को चारो तरफ ब्रम्हाण्ड में फैलायें, तो यह ब्रम्हाण्ड में एक तरह की पेटी सी बना लेगा।"," Yadi prithvi, suraj ke kendr aur prithvi ki parikrama ke tal ko charo taraf bramhand mein failaen, to yah bramhand mein ek tarah ki peti si bna lege. "
113,"आकाशवाणी हुई- ""हे राजा विक्रमादित्य, तुम्हारी साधना से हम प्रसन्न हुए। अपनी इच्छा बता।"""," aakaashvaani hui- ""he raaja vikramaditya, tumhaari saadhaana se hum praasann huye. apni ichchha bat. "
114,यह काम डाक्टर फ्रायड ने किया।, yah kyaam daktar fryad ne kiya. 
115,"दिसंबर 2000 क़ो, अमेरिकन एक्सप्रेस ने पेसिफिक सेंचुरी फ़ाइनेंशियल कॉरपोरेशन के डिवीज़न, बैंक ऑफ हवाई के क्रेडिट कार्ड पोर्टफोलियो का अधिग्रहण करने की सहमति दी।"," December 2000 ko, American Express ne Pacific Century Financial Corporation ke division, Bank of Hawaii ke credit card portfolio ka adhigrahan karna ki sahamati di. "
116,बौद्ध महिलाओं की साक्षरता दर के रूप में हिंदू दलित महिलाओं के 41.9 प्रतिशत की तुलना में 61.7 प्रतिशत है।, buddh mahilaon ki saksharta dar ke roop me hindu dalit mahilaon ke 41.9 pratisat ke tulya me 61.7 pratisat hai. 
117,रेखांश, Rekhaansh 
118,आठ के टुकड़ों का संग्रह एक समुद्री देवी केलिप्सो को मुक्त कर सकता है।, aath ke tukdon ka sangrah ek samudri devi kelipso ko mukta kar sakta hai. 
119,"इस राशि के जातकों में करुणा की भावना होती है, स्‍वयं बढ़कर भले ही सहायता न करे, लेकिन पुकारे जाने पर पूरी तरह सहायता के लिए तत्‍पर हो उठते हैं।"," is rash ki jatkon me karuna ki bhavana hoti hai, swyam badhkar bhale hi sahayata na kare, lekin pukare jane par poori tarah sahayata ke liye tatpar ho uthate hain. "
120,सचिवालय के अलग अलग भाग-अनुभाग हैं।, sachivalaya ke alag-alag bhag-anubhag hain. 
